id;category;label;description;status;open_at;close_at;settle_at;base_odds;live_odds;signal_score;metadata;created_at;updated_at;created_by
c36c217b-bd5f-4219-b11e-768230632f83;WORLD;Oil Prices Above $100/barrel This Month;;OPEN;2025-10-26 22:39:21.105768+00;2025-11-25 22:39:21.105768+00;;4.000;3.500;	-0.220;"{""commodity"":""crude_oil"",""threshold"":100,""timeframe"":""1m""}";2025-10-26 22:39:21.105768+00;2025-10-26 22:39:21.105768+00;
5b6a6c46-c011-45d3-b23c-62b1d80c896d;SPORTS;Warriors Leading After Q1;Will the Warriors be leading after the 1st quarter?;OPEN;2025-10-26 23:15:55.875452+00;2025-10-27 01:15:55.875452+00;;2.100;2.100;0.150;{};2025-10-26 23:15:55.875452+00;2025-10-26 23:15:55.875452+00;
7f25c669-6fe0-4099-a1f9-a0f76947abc3;SPORTS;Warriors Leading After Q2;Will the Warriors be leading at halftime?;OPEN;2025-10-26 23:15:55.875452+00;2025-10-27 01:15:55.875452+00;;1.950;1.950;0.220;{};2025-10-26 23:15:55.875452+00;2025-10-26 23:15:55.875452+00;
71f5930b-bf50-40e2-85a6-0bec9096d456;SPORTS;Warriors Leading After Q3;Will the Warriors be leading after the 3rd quarter?;OPEN;2025-10-26 23:15:55.875452+00;2025-10-27 01:15:55.875452+00;;2.050;2.050;0.180;{};2025-10-26 23:15:55.875452+00;2025-10-26 23:15:55.875452+00;
dc433f88-b5f7-4395-9072-e361667e0fba;SPORTS;Warriors Leading After Q4;Will the Warriors be leading after the 4th quarter (final)?;OPEN;2025-10-26 23:15:55.875452+00;2025-10-27 01:15:55.875452+00;;2.150;2.150;0.200;{};2025-10-26 23:15:55.875452+00;2025-10-26 23:15:55.875452+00;
f1f5cb0b-8f0a-495e-95a4-45f0939f2c28;SPORTS;Lakers Leading After Q1;Will the Lakers be leading after the 1st quarter?;OPEN;2025-10-26 23:15:55.875452+00;2025-10-27 01:15:55.875452+00;;1.900;1.900;	-0.150;{};2025-10-26 23:15:55.875452+00;2025-10-26 23:15:55.875452+00;
d01edc93-2723-4d9a-88db-5b8f179c9b25;SPORTS;Lakers Leading After Q2;Will the Lakers be leading at halftime?;OPEN;2025-10-26 23:15:55.875452+00;2025-10-27 01:15:55.875452+00;;2.050;2.050;	-0.220;{};2025-10-26 23:15:55.875452+00;2025-10-26 23:15:55.875452+00;
843668f3-09f4-441d-867a-adf902d90c17;SPORTS;Lakers Leading After Q3;Will the Lakers be leading after the 3rd quarter?;OPEN;2025-10-26 23:15:55.875452+00;2025-10-27 01:15:55.875452+00;;1.950;1.950;	-0.180;{};2025-10-26 23:15:55.875452+00;2025-10-26 23:15:55.875452+00;
20a19e09-6bb0-4fe2-9fb7-819a71be1506;SPORTS;Lakers Leading After Q4;Will the Lakers be leading after the 4th quarter (final)?;OPEN;2025-10-26 23:15:55.875452+00;2025-10-27 01:15:55.875452+00;;1.850;1.850;	-0.200;{};2025-10-26 23:15:55.875452+00;2025-10-26 23:15:55.875452+00;
01d677a2-d581-4e13-a8a1-56fbc006b8ad;SPORTS;Game Goes to Overtime;Will this game require overtime to decide the winner?;OPEN;2025-10-26 23:15:55.875452+00;2025-10-27 01:15:55.875452+00;;8.500;8.500;0.050;{};2025-10-26 23:15:55.875452+00;2025-10-26 23:15:55.875452+00;
ae3e2951-e42a-44f5-abe0-c2723ea05700;SPORTS;Total Points Over/Under 225.5;Will the combined score exceed 225.5 points?;OPEN;2025-10-26 23:15:55.875452+00;2025-10-27 01:15:55.875452+00;;1.910;1.910;0.120;{};2025-10-26 23:15:55.875452+00;2025-10-26 23:15:55.875452+00;
7f140036-9a9c-4b27-8399-f5c522bc19f3;SPORTS;First Player to Foul Out;Which team will have a player foul out first?;OPEN;2025-10-26 23:15:55.875452+00;2025-10-27 01:15:55.875452+00;;1.950;1.950;0.080;{};2025-10-26 23:15:55.875452+00;2025-10-26 23:15:55.875452+00;
